Title,Recommendations
Gran Turismo 2,"['Gran Turismo 5', 'Grand Theft Auto V', 'Burnout 3: Takedown', 'Forza Horizon 2', 'The Elder Scrolls V: Skyrim']"
Tom Clancy's Splinter Cell Pandora Tomorrow,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', '""Tom Clancys Splinter Cell: Blacklist""', '""Tom Clancys Splinter Cell: Conviction""']"
Grand Theft Auto: Chinatown Wars,"['Grand Theft Auto V', 'Grand Theft Auto: Vice City', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
Pac-Man Championship Edition DX,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'Super Smash Bros. for Wii U']"
Street Fighter Alpha 3,"['The Witcher 3: Wild Hunt', 'Portal 2', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""']"
Divinity: Original Sin II,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild']"
Unreal Tournament 2004,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'Grand Theft Auto V']"
Braid,"['The Legend of Zelda: Breath of the Wild', 'The Witcher 3: Wild Hunt', 'The Witness', 'The Legend of Zelda: Skyward Sword', 'BioShock Infinite']"
God of War II,"['The Witcher 3: Wild Hunt', 'God of War', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim']"
Super Mario 3D World,"['Super Mario Odyssey', 'Super Mario Galaxy', 'Super Mario Galaxy 2', 'Super Mario 64', 'The Witcher 3: Wild Hunt']"
Starcraft II: Wings of Liberty,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Starcraft']"
SSX,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Minecraft,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Terraria', 'The Legend of Zelda: Breath of the Wild']"
Persona 5,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V']"
Persona 4 Golden,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Persona 5', 'The Elder Scrolls V: Skyrim']"
SSX 3,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V']"
Tom Clancy's Splinter Cell,"['The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us Remastered']"
Quake III Arena,"['Persona 5', 'The Legend of Zelda: Breath of the Wild', 'Grand Theft Auto V', 'BioShock Infinite', 'Fallout 4']"
Homeworld,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Okami,"['The Last of Us', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild']"
Fallout 3,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Gears of War 2,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Portal 2']"
SoulCalibur II,"['The Witcher 3: Wild Hunt', 'Super Smash Bros. Brawl', 'Mortal Kombat', 'Bloodborne', 'The Last of Us']"
World Soccer Winning Eleven 6 International,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'FIFA 14', 'The Last of Us']"
NFL 2K3,"['ESPN NFL 2K5', 'The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'The Elder Scrolls V: Skyrim', 'Pro Evolution Soccer 2016']"
Mass Effect 3,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Last of Us', 'Mass Effect 2']"
Skies of Arcadia,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild']"
The Legend of Zelda: Skyward Sword,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', 'Super Mario Galaxy', 'The Legend of Zelda: Twilight Princess']"
Mario Kart Super Circuit,"['Super Mario Odyssey', 'Super Mario 3D World', 'Mario Kart 8', 'The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild']"
Rock Band 3,"['Rock Band', 'The Legend of Zelda: Breath of the Wild', 'Portal 2', 'Grand Theft Auto V', 'The Beatles: Rock Band']"
Viewtiful Joe,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'Portal 2']"
Test Drive Le Mans,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Gran Turismo 5', 'Burnout 3: Takedown', 'Forza Horizon 2']"
Castlevania: Symphony of the Night,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Castlevania: Portrait of Ruin', 'The Elder Scrolls V: Skyrim']"
Virtua Fighter 4: Evolution,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Super Smash Bros. Brawl', 'Mortal Kombat', '""Uncharted 4: A Thiefs End""']"
Uncharted 4: A Thief's End,"['""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 3: Drakes Deception""']"
Paper Mario,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Super Mario Odyssey']"
Wipeout XL,"['Grand Theft Auto V', 'The Witcher 3: Wild Hunt', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'Gran Turismo 5']"
INSIDE,"['The Witcher 3: Wild Hunt', 'The Legend of Zelda: Breath of the Wild', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
World of Warcraft,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
Flipnote Studio,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', 'The Last of Us', '""Uncharted 4: A Thiefs End""', 'BioShock Infinite']"
World Soccer Winning Eleven 7 International,"['The Elder Scrolls V: Skyrim', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'FIFA 14', 'Grand Theft Auto V']"
NBA 2K2,[]
Prince of Persia: The Sands of Time,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Elder Scrolls V: Skyrim', 'BioShock Infinite']"
Divinity: Original Sin II - Definitive Edition,"['Divinity: Original Sin II', 'Divinity: Original Sin', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
God of War III,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'God of War', 'Grand Theft Auto V']"
SSX Tricky,"['The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Twilight Princess', 'The Witcher 3: Wild Hunt', 'Grand Theft Auto V', 'SSX 3']"
NHL 2002,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
Guitar Hero II,"['Rock Band 3', 'The Legend of Zelda: Skyward Sword', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
Uncharted 3: Drake's Deception,"['""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 3: Drakes Deception""']"
Rock Band,"['Grand Theft Auto V', 'Rock Band 3', 'The Legend of Zelda: Breath of the Wild', 'Battlefield 3', 'The Witcher 3: Wild Hunt']"
Journey,"['The Last of Us', '""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Breath of the Wild']"
Bloodborne,"['The Witcher 3: Wild Hunt', 'Nioh', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
Eternal Darkness: Sanity's Requiem,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'Grand Theft Auto V']"
Warcraft III: Reign of Chaos,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
The Sims,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'Super Mario 3D World', 'Super Smash Bros. for Wii U']"
Banjo-Kazooie,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'The Legend of Zelda: Ocarina of Time', 'The Last of Us']"
Sid Meier's Gettysburg!,"['The Elder Scrolls V: Skyrim', 'Battlefield 3', 'The Legend of Zelda: Breath of the Wild', 'Ultimate General: Gettysburg', 'Crusader Kings II']"
Rock Band 2,"['Super Smash Bros. Brawl', 'The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'Mass Effect 3']"
Forza Motorsport,"['Gran Turismo 5', 'Forza Horizon 2', 'Grand Theft Auto V', 'Burnout 3: Takedown', 'Forza Motorsport 6']"
Super Street Fighter IV,"['The Witcher 3: Wild Hunt', 'Super Smash Bros. Brawl', 'Mortal Kombat', 'Call of Duty: Modern Warfare 3', '""Uncharted 4: A Thiefs End""']"
Advance Wars,"['The Legend of Zelda: Breath of the Wild', 'The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us']"
Vagrant Story,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Last of Us', 'The Legend of Zelda: Breath of the Wild']"
What Remains of Edith Finch,"['The Witcher 3: Wild Hunt', 'The Last of Us', '""Uncharted 4: A Thiefs End""', 'BioShock Infinite', 'The Elder Scrolls V: Skyrim']"
Team Fortress 2,"['The Witcher 3: Wild Hunt', 'The Elder Scrolls V: Skyrim', '""Uncharted 4: A Thiefs End""', 'The Legend of Zelda: Breath of the Wild', 'The Last of Us']"
System Shock 2,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'Grand Theft Auto V', 'The Last of Us', 'The Elder Scrolls V: Skyrim']"
Tom Clancy's Splinter Cell: Chaos Theory,"['The Witcher 3: Wild Hunt', '""Uncharted 4: A Thiefs End""', 'The Elder Scrolls V: Skyrim', 'Grand Theft Auto V', 'The Last of Us']"
Final Fantasy XII,"['""Uncharted 4: A Thiefs End""', 'The Witcher 3: Wild Hunt', 'The Last of Us', 'Final Fantasy XV', 'Final Fantasy IX']"
